Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR	Hit
GO:0102391~decanoate--CoA ligase activity	GOTERM_MF_DIRECT	8	10.25641026	1.97E-16	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000024207, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000020333, ENSMUSG00000027359"	78	8	17446	223.6666667	4.88E-14	1.44E-14	1.08E-12	Hit
GO:0008289~lipid binding	GOTERM_MF_DIRECT	17	21.79487179	4.08E-14	"ENSMUSG00000002250, ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000054422, ENSMUSG00000026385, ENSMUSG00000028773, ENSMUSG00000022383, ENSMUSG00000027533, ENSMUSG00000032083, ENSMUSG00000023057, ENSMUSG00000032081, ENSMUSG00000028603, ENSMUSG00000062515, ENSMUSG00000019874, ENSMUSG00000002944, ENSMUSG00000020405, ENSMUSG00000017754"	78	270	17446	14.08271605	8.96E-12	2.24E-12	1.68E-10	Hit
GO:0031957~very long-chain fatty acid-CoA ligase activity	GOTERM_MF_DIRECT	7	8.974358974	1.69E-13	"ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000031808, ENSMUSG00000030382, ENSMUSG00000032281, ENSMUSG00000024600, ENSMUSG00000027359"	78	8	17446	195.7083333	3.71E-11	7.41E-12	5.56E-10	Hit
GO:0005506~iron ion binding	GOTERM_MF_DIRECT	12	15.38461538	2.18E-09	"ENSMUSG00000028240, ENSMUSG00000037071, ENSMUSG00000026170, ENSMUSG00000050195, ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000025202, ENSMUSG00000050445, ENSMUSG00000025203, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	78	212	17446	12.66037736	4.80E-07	7.10E-08	5.33E-06	Low
GO:0003824~catalytic activity	GOTERM_MF_DIRECT	16	20.51282051	2.26E-09	"ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000030382, ENSMUSG00000027875, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000028603, ENSMUSG00000020333, ENSMUSG00000027359, ENSMUSG00000022853, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000024207, ENSMUSG00000036138, ENSMUSG00000010651"	78	479	17446	7.47112039	4.97E-07	7.10E-08	5.33E-06	Low
GO:0004768~stearoyl-CoA 9-desaturase activity	GOTERM_MF_DIRECT	5	6.41025641	5.23E-09	"ENSMUSG00000037071, ENSMUSG00000050195, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000024665"	78	6	17446	186.3888889	1.15E-06	1.44E-07	1.08E-05	Low
GO:0016491~oxidoreductase activity	GOTERM_MF_DIRECT	17	21.79487179	6.73E-09	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000062908, ENSMUSG00000050195, ENSMUSG00000029098, ENSMUSG00000025202, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000025203, ENSMUSG00000024665, ENSMUSG00000022853, ENSMUSG00000037071, ENSMUSG00000020777, ENSMUSG00000032418, ENSMUSG00000050445, ENSMUSG00000066072, ENSMUSG00000066071"	78	604	17446	6.295253863	1.48E-06	1.65E-07	1.23E-05	Low
GO:0000062~fatty-acyl-CoA binding	GOTERM_MF_DIRECT	7	8.974358974	8.89E-09	"ENSMUSG00000020777, ENSMUSG00000026385, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000028603"	78	35	17446	44.73333333	1.96E-06	1.96E-07	1.47E-05	Low
GO:0003707~steroid hormone receptor activity	GOTERM_MF_DIRECT	7	8.974358974	1.65E-07	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000000440"	78	56	17446	27.95833333	3.63E-05	3.30E-06	2.48E-04	Low
GO:0032896~palmitoyl-CoA 9-desaturase activity	GOTERM_MF_DIRECT	4	5.128205128	3.30E-07	"ENSMUSG00000037071, ENSMUSG00000050195, ENSMUSG00000025202, ENSMUSG00000025203"	78	4	17446	223.6666667	7.25E-05	5.58E-06	4.18E-04	Low
GO:0004095~carnitine O-palmitoyltransferase activity	GOTERM_MF_DIRECT	4	5.128205128	3.30E-07	"ENSMUSG00000028607, ENSMUSG00000007783, ENSMUSG00000024900, ENSMUSG00000078937"	78	4	17446	223.6666667	7.25E-05	5.58E-06	4.18E-04	Low
"GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding"	GOTERM_MF_DIRECT	6	7.692307692	4.97E-07	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000039656, ENSMUSG00000000440"	78	36	17446	37.27777778	1.09E-04	7.82E-06	5.86E-04	Low
"GO:0052890~oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor"	GOTERM_MF_DIRECT	5	6.41025641	6.13E-07	"ENSMUSG00000020777, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000026003, ENSMUSG00000021751"	78	16	17446	69.89583333	1.35E-04	8.99E-06	6.74E-04	Low
GO:0003995~acyl-CoA dehydrogenase activity	GOTERM_MF_DIRECT	5	6.41025641	7.99E-07	"ENSMUSG00000020777, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000026003, ENSMUSG00000021751"	78	17	17446	65.78431373	1.76E-04	1.06E-05	7.97E-04	Low
"GO:0016717~oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water"	GOTERM_MF_DIRECT	4	5.128205128	8.21E-07	"ENSMUSG00000037071, ENSMUSG00000050195, ENSMUSG00000025202, ENSMUSG00000025203"	78	5	17446	178.9333333	1.81E-04	1.06E-05	7.97E-04	Low
GO:0018685~alkane 1-monooxygenase activity	GOTERM_MF_DIRECT	4	5.128205128	1.64E-06	"ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	78	6	17446	149.1111111	3.60E-04	2.00E-05	0.001501214	Low
GO:0016874~ligase activity	GOTERM_MF_DIRECT	11	14.1025641	4.17E-06	"ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000024207, ENSMUSG00000030382, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000020333, ENSMUSG00000027359"	78	362	17446	6.796500921	9.17E-04	4.83E-05	0.003620478	Low
"GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors"	GOTERM_MF_DIRECT	5	6.41025641	6.63E-06	"ENSMUSG00000020777, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000026003, ENSMUSG00000021751"	78	28	17446	39.94047619	0.001456716	7.29E-05	0.005466648	Low
GO:0020037~heme binding	GOTERM_MF_DIRECT	8	10.25641026	1.21E-05	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000050445, ENSMUSG00000066072, ENSMUSG00000028712, ENSMUSG00000066071"	78	175	17446	10.2247619	0.002651715	1.26E-04	0.009482932	Low
GO:0017127~cholesterol transporter activity	GOTERM_MF_DIRECT	4	5.128205128	3.62E-05	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000028603"	78	15	17446	59.64444444	0.007933649	3.62E-04	0.027153899	Low
GO:0005215~transporter activity	GOTERM_MF_DIRECT	8	10.25641026	4.81E-05	"ENSMUSG00000019874, ENSMUSG00000054422, ENSMUSG00000028773, ENSMUSG00000020405, ENSMUSG00000027533, ENSMUSG00000023057, ENSMUSG00000028427, ENSMUSG00000062515"	78	217	17446	8.24577573	0.010520178	4.60E-04	0.034485824	Low
GO:0004886~9-cis retinoic acid receptor activity	GOTERM_MF_DIRECT	3	3.846153846	5.75E-05	"ENSMUSG00000015846, ENSMUSG00000039656, ENSMUSG00000015843"	78	3	17446	223.6666667	0.012574835	4.69E-04	0.035150564	Low
GO:0070538~oleic acid binding	GOTERM_MF_DIRECT	3	3.846153846	5.75E-05	"ENSMUSG00000002944, ENSMUSG00000028773, ENSMUSG00000028603"	78	3	17446	223.6666667	0.012574835	4.69E-04	0.035150564	Low
GO:0070653~high-density lipoprotein particle receptor binding	GOTERM_MF_DIRECT	3	3.846153846	5.75E-05	"ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000032081"	78	3	17446	223.6666667	0.012574835	4.69E-04	0.035150564	Low
GO:0016401~palmitoyl-CoA oxidase activity	GOTERM_MF_DIRECT	3	3.846153846	5.75E-05	"ENSMUSG00000020777, ENSMUSG00000026003, ENSMUSG00000036138"	78	3	17446	223.6666667	0.012574835	4.69E-04	0.035150564	Low
"GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	GOTERM_MF_DIRECT	6	7.692307692	7.60E-05	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000078597, ENSMUSG00000050445, ENSMUSG00000066072, ENSMUSG00000066071"	78	99	17446	13.55555556	0.016580974	5.97E-04	0.044783951	Low
GO:0009055~electron carrier activity	GOTERM_MF_DIRECT	5	6.41025641	8.72E-05	"ENSMUSG00000020777, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000026003, ENSMUSG00000021751"	78	53	17446	21.10062893	0.018995268	6.61E-04	0.049596104	Low
"GO:0016746~transferase activity, transferring acyl groups"	GOTERM_MF_DIRECT	7	8.974358974	9.51E-05	"ENSMUSG00000028607, ENSMUSG00000007783, ENSMUSG00000024900, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000028603, ENSMUSG00000010651"	78	167	17446	9.375249501	0.020700322	6.97E-04	0.052291456	Low
GO:0003997~acyl-CoA oxidase activity	GOTERM_MF_DIRECT	3	3.846153846	1.15E-04	"ENSMUSG00000020777, ENSMUSG00000029098, ENSMUSG00000021751"	78	4	17446	167.75	0.024921535	7.66E-04	0.057421747	Low
GO:0015245~fatty acid transporter activity	GOTERM_MF_DIRECT	3	3.846153846	1.15E-04	"ENSMUSG00000031808, ENSMUSG00000030382, ENSMUSG00000027359"	78	4	17446	167.75	0.024921535	7.66E-04	0.057421747	Low
GO:0004497~monooxygenase activity	GOTERM_MF_DIRECT	6	7.692307692	1.15E-04	"ENSMUSG00000028240, ENSMUSG00000026170, ENSMUSG00000078597, ENSMUSG00000050445, ENSMUSG00000066072, ENSMUSG00000066071"	78	108	17446	12.42592593	0.02495048	7.66E-04	0.057421747	Low
GO:0050051~leukotriene-B4 20-monooxygenase activity	GOTERM_MF_DIRECT	3	3.846153846	1.91E-04	"ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712"	78	5	17446	134.2	0.041075878	0.001198267	0.089869996	Low
GO:0060228~phosphatidylcholine-sterol O-acyltransferase activator activity	GOTERM_MF_DIRECT	3	3.846153846	1.91E-04	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083"	78	5	17446	134.2	0.041075878	0.001198267	0.089869996	Low
GO:0003988~acetyl-CoA C-acyltransferase activity	GOTERM_MF_DIRECT	3	3.846153846	2.85E-04	"ENSMUSG00000036138, ENSMUSG00000028603, ENSMUSG00000010651"	78	6	17446	111.8333333	0.0608103	0.001580966	0.118572475	Low
GO:0055102~lipase inhibitor activity	GOTERM_MF_DIRECT	3	3.846153846	2.85E-04	"ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000032081"	78	6	17446	111.8333333	0.0608103	0.001580966	0.118572475	Low
GO:0005324~long-chain fatty acid transporter activity	GOTERM_MF_DIRECT	3	3.846153846	2.85E-04	"ENSMUSG00000054422, ENSMUSG00000028773, ENSMUSG00000023057"	78	6	17446	111.8333333	0.0608103	0.001580966	0.118572475	Low
GO:0008391~arachidonic acid monooxygenase activity	GOTERM_MF_DIRECT	3	3.846153846	2.85E-04	"ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712"	78	6	17446	111.8333333	0.0608103	0.001580966	0.118572475	Low
GO:0050660~flavin adenine dinucleotide binding	GOTERM_MF_DIRECT	5	6.41025641	2.87E-04	"ENSMUSG00000020777, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000026003, ENSMUSG00000021751"	78	72	17446	15.53240741	0.061289115	0.001580966	0.118572475	Low
GO:0008035~high-density lipoprotein particle binding	GOTERM_MF_DIRECT	3	3.846153846	3.98E-04	"ENSMUSG00000005681, ENSMUSG00000002944, ENSMUSG00000032083"	78	7	17446	95.85714286	0.083860307	0.002135829	0.160187178	Low
GO:0015485~cholesterol binding	GOTERM_MF_DIRECT	4	5.128205128	4.48E-04	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083, ENSMUSG00000028603"	78	34	17446	26.31372549	0.093934234	0.002348126	0.176109418	Low
GO:0005543~phospholipid binding	GOTERM_MF_DIRECT	5	6.41025641	6.18E-04	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000054422, ENSMUSG00000032083, ENSMUSG00000032081"	78	88	17446	12.70833333	0.127109688	0.003160544	0.237040782	Low
GO:0005102~receptor binding	GOTERM_MF_DIRECT	8	10.25641026	0.002261238	"ENSMUSG00000022853, ENSMUSG00000022878, ENSMUSG00000020777, ENSMUSG00000029098, ENSMUSG00000015568, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000027359"	78	412	17446	4.343042071	0.392276769	0.011306191	0.847964338	Low
GO:0031210~phosphatidylcholine binding	GOTERM_MF_DIRECT	3	3.846153846	0.003469867	"ENSMUSG00000032079, ENSMUSG00000005681, ENSMUSG00000032083"	78	20	17446	33.55	0.534525564	0.016963792	1.272284387	Low
GO:0046965~retinoid X receptor binding	GOTERM_MF_DIRECT	3	3.846153846	0.003824186	"ENSMUSG00000002250, ENSMUSG00000002108, ENSMUSG00000000440"	78	21	17446	31.95238095	0.56955414	0.018289585	1.371718903	Low
"GO:0016747~transferase activity, transferring acyl groups other than amino-acyl groups"	GOTERM_MF_DIRECT	3	3.846153846	0.004581024	"ENSMUSG00000036138, ENSMUSG00000028603, ENSMUSG00000010651"	78	23	17446	29.17391304	0.635832273	0.02144309	1.608231732	Low
GO:0004613~phosphoenolpyruvate carboxykinase (GTP) activity	GOTERM_MF_DIRECT	2	2.564102564	0.00880801	"ENSMUSG00000040618, ENSMUSG00000027513"	78	2	17446	223.6666667	0.857205194	0.039546168	2.965962614	Low
GO:0004611~phosphoenolpyruvate carboxykinase activity	GOTERM_MF_DIRECT	2	2.564102564	0.00880801	"ENSMUSG00000040618, ENSMUSG00000027513"	78	2	17446	223.6666667	0.857205194	0.039546168	2.965962614	Low
GO:0000166~nucleotide binding	GOTERM_MF_DIRECT	17	21.79487179	0.009509109	"ENSMUSG00000059316, ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000030890, ENSMUSG00000030382, ENSMUSG00000040618, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000025059, ENSMUSG00000024122, ENSMUSG00000020333, ENSMUSG00000027513, ENSMUSG00000027359, ENSMUSG00000018796, ENSMUSG00000031808, ENSMUSG00000024207, ENSMUSG00000050553"	78	1936	17446	1.964015152	0.877789952	0.041840079	3.138005927	Low
GO:0036042~long-chain fatty acyl-CoA binding	GOTERM_MF_DIRECT	2	2.564102564	0.013183256	"ENSMUSG00000026385, ENSMUSG00000028603"	78	3	17446	149.1111111	0.946044938	0.05544234	4.158175524	Low
GO:0036041~long-chain fatty acid binding	GOTERM_MF_DIRECT	2	2.564102564	0.013183256	"ENSMUSG00000028773, ENSMUSG00000031710"	78	3	17446	149.1111111	0.946044938	0.05544234	4.158175524	Low
GO:0008144~drug binding	GOTERM_MF_DIRECT	4	5.128205128	0.013356564	"ENSMUSG00000002250, ENSMUSG00000054422, ENSMUSG00000022383, ENSMUSG00000000440"	78	112	17446	7.988095238	0.948090024	0.05544234	4.158175524	Low
GO:0004370~glycerol kinase activity	GOTERM_MF_DIRECT	2	2.564102564	0.017539438	"ENSMUSG00000050553, ENSMUSG00000025059"	78	4	17446	111.8333333	0.979614203	0.070157752	5.261831433	Low
GO:0034190~apolipoprotein receptor binding	GOTERM_MF_DIRECT	2	2.564102564	0.017539438	"ENSMUSG00000005681, ENSMUSG00000032083"	78	4	17446	111.8333333	0.979614203	0.070157752	5.261831433	Low
GO:0008392~arachidonic acid epoxygenase activity	GOTERM_MF_DIRECT	3	3.846153846	0.018283591	"ENSMUSG00000063929, ENSMUSG00000066072, ENSMUSG00000028712"	78	47	17446	14.27659574	0.982744362	0.071828393	5.387129498	Low
GO:0017076~purine nucleotide binding	GOTERM_MF_DIRECT	2	2.564102564	0.021876639	"ENSMUSG00000040618, ENSMUSG00000027513"	78	5	17446	89.46666667	0.992298082	0.084436152	6.332711378	Low
GO:0046982~protein heterodimerization activity	GOTERM_MF_DIRECT	7	8.974358974	0.02592535	"ENSMUSG00000002250, ENSMUSG00000005681, ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000039656, ENSMUSG00000028603"	78	514	17446	3.046044099	0.996907618	0.096048117	7.203608758	Low
GO:0032052~bile acid binding	GOTERM_MF_DIRECT	2	2.564102564	0.026194941	"ENSMUSG00000054422, ENSMUSG00000020405"	78	6	17446	74.55555556	0.997090316	0.096048117	7.203608758	Low
GO:0071813~lipoprotein particle binding	GOTERM_MF_DIRECT	2	2.564102564	0.026194941	"ENSMUSG00000002944, ENSMUSG00000032083"	78	6	17446	74.55555556	0.997090316	0.096048117	7.203608758	Low
GO:0019899~enzyme binding	GOTERM_MF_DIRECT	6	7.692307692	0.027365379	"ENSMUSG00000022853, ENSMUSG00000032079, ENSMUSG00000015846, ENSMUSG00000032083, ENSMUSG00000000440, ENSMUSG00000027359"	78	384	17446	3.494791667	0.99776674	0.098694809	7.40211067	Low
GO:0005524~ATP binding	GOTERM_MF_DIRECT	13	16.66666667	0.031885101	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000030890, ENSMUSG00000030382, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000025059, ENSMUSG00000024122, ENSMUSG00000020333, ENSMUSG00000027359, ENSMUSG00000018796, ENSMUSG00000024207, ENSMUSG00000050553"	78	1507	17446	1.929440389	0.999198472	0.11314068	8.485550995	Low
GO:0042809~vitamin D receptor binding	GOTERM_MF_DIRECT	2	2.564102564	0.03477517	"ENSMUSG00000015846, ENSMUSG00000039656"	78	8	17446	55.91666667	0.999584791	0.121437103	9.107782691	Low
GO:0005041~low-density lipoprotein receptor activity	GOTERM_MF_DIRECT	2	2.564102564	0.043280772	"ENSMUSG00000002944, ENSMUSG00000030162"	78	10	17446	44.73333333	0.999940763	0.148777654	11.15832408	Low
GO:0005319~lipid transporter activity	GOTERM_MF_DIRECT	2	2.564102564	0.055900649	"ENSMUSG00000005681, ENSMUSG00000032083"	78	13	17446	34.41025641	0.999996809	0.189202195	14.19016463	Low
GO:0016740~transferase activity	GOTERM_MF_DIRECT	12	15.38461538	0.057746868	"ENSMUSG00000028607, ENSMUSG00000007783, ENSMUSG00000030890, ENSMUSG00000024900, ENSMUSG00000027875, ENSMUSG00000050553, ENSMUSG00000025059, ENSMUSG00000024122, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000028603, ENSMUSG00000010651"	78	1472	17446	1.823369565	0.999997926	0.192489561	14.43671705	Low
GO:0043565~sequence-specific DNA binding	GOTERM_MF_DIRECT	7	8.974358974	0.060615726	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000022383, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000000440"	78	633	17446	2.473407056	0.999998939	0.199036712	14.92775339	Low
GO:0008134~transcription factor binding	GOTERM_MF_DIRECT	5	6.41025641	0.064541774	"ENSMUSG00000002250, ENSMUSG00000015846, ENSMUSG00000022383, ENSMUSG00000000440, ENSMUSG00000025006"	78	342	17446	3.269980507	0.999999578	0.208811621	15.66087156	Low
GO:0044212~transcription regulatory region DNA binding	GOTERM_MF_DIRECT	4	5.128205128	0.083941234	"ENSMUSG00000015846, ENSMUSG00000002108, ENSMUSG00000039656, ENSMUSG00000000440"	78	233	17446	3.839771102	0.999999996	0.266236467	19.96773503	Low
GO:0042974~retinoic acid receptor binding	GOTERM_MF_DIRECT	2	2.564102564	0.084711603	"ENSMUSG00000015846, ENSMUSG00000039656"	78	20	17446	22.36666667	0.999999997	0.266236467	19.96773503	Low
"GO:0016773~phosphotransferase activity, alcohol group as acceptor"	GOTERM_MF_DIRECT	2	2.564102564	0.088755974	"ENSMUSG00000050553, ENSMUSG00000025059"	78	21	17446	21.3015873	0.999999999	0.275018511	20.62638833	Low
GO:0046872~metal ion binding	GOTERM_MF_DIRECT	21	26.92307692	0.090186616	"ENSMUSG00000028240, ENSMUSG00000002250, ENSMUSG00000026170, ENSMUSG00000015846, ENSMUSG00000050195, ENSMUSG00000040618, ENSMUSG00000025202, ENSMUSG00000022383, ENSMUSG00000041620, ENSMUSG00000000440, ENSMUSG00000025203, ENSMUSG00000027513, ENSMUSG00000037071, ENSMUSG00000043089, ENSMUSG00000002108, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000032418, ENSMUSG00000050445, ENSMUSG00000066072, ENSMUSG00000066071"	78	3355	17446	1.4	0.999999999	0.275570215	20.66776616	Low
mmu03320:PPAR signaling pathway	KEGG_PATHWAY	76	97.43589744	8.91E-172	"ENSMUSG00000032883, ENSMUSG00000031278, ENSMUSG00000030382, ENSMUSG00000050195, ENSMUSG00000024981, ENSMUSG00000032083, ENSMUSG00000027533, ENSMUSG00000032281, ENSMUSG00000023057, ENSMUSG00000032081, ENSMUSG00000026003, ENSMUSG00000021751, ENSMUSG00000028427, ENSMUSG00000024665, ENSMUSG00000024900, ENSMUSG00000050553, ENSMUSG00000030546, ENSMUSG00000031710, ENSMUSG00000010651, ENSMUSG00000032079, ENSMUSG00000030890, ENSMUSG00000028773, ENSMUSG00000078597, ENSMUSG00000062908, ENSMUSG00000040618, ENSMUSG00000041620, ENSMUSG00000008348, ENSMUSG00000002289, ENSMUSG00000020333, ENSMUSG00000043089, ENSMUSG00000019874, ENSMUSG00000022878, ENSMUSG00000020777, ENSMUSG00000050445, ENSMUSG00000028240, ENSMUSG00000002250, ENSMUSG00000005681, ENSMUSG00000007783, ENSMUSG00000030162, ENSMUSG00000015846, ENSMUSG00000026385, ENSMUSG00000029098, ENSMUSG00000063929, ENSMUSG00000022383, ENSMUSG00000025059, ENSMUSG00000024122, ENSMUSG00000024600, ENSMUSG00000028603, ENSMUSG00000062515, ENSMUSG00000027359, ENSMUSG00000027513, ENSMUSG00000037071, ENSMUSG00000018796, ENSMUSG00000028607, ENSMUSG00000024207, ENSMUSG00000020405, ENSMUSG00000015568, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000066072, ENSMUSG00000066071, ENSMUSG00000059316, ENSMUSG00000026170, ENSMUSG00000054422, ENSMUSG00000025202, ENSMUSG00000025203, ENSMUSG00000000440, ENSMUSG00000028712, ENSMUSG00000025006, ENSMUSG00000022853, ENSMUSG00000031808, ENSMUSG00000002944, ENSMUSG00000002108, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000017754"	78	80	7691	93.6724359	6.77E-170	6.77E-170	5.26E-168	Hit
mmu00071:Fatty acid degradation	KEGG_PATHWAY	23	29.48717949	1.55E-32	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000007783, ENSMUSG00000062908, ENSMUSG00000029098, ENSMUSG00000078597, ENSMUSG00000063929, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000026003, ENSMUSG00000020333, ENSMUSG00000028712, ENSMUSG00000022853, ENSMUSG00000028607, ENSMUSG00000018796, ENSMUSG00000020777, ENSMUSG00000024207, ENSMUSG00000024900, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000066072, ENSMUSG00000010651, ENSMUSG00000066071"	78	49	7691	46.28283621	1.18E-30	5.91E-31	4.58E-29	Hit
mmu01212:Fatty acid metabolism	KEGG_PATHWAY	23	29.48717949	4.81E-32	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000007783, ENSMUSG00000062908, ENSMUSG00000050195, ENSMUSG00000029098, ENSMUSG00000024981, ENSMUSG00000025202, ENSMUSG00000032281, ENSMUSG00000026003, ENSMUSG00000025203, ENSMUSG00000020333, ENSMUSG00000024665, ENSMUSG00000022853, ENSMUSG00000037071, ENSMUSG00000028607, ENSMUSG00000018796, ENSMUSG00000020777, ENSMUSG00000024207, ENSMUSG00000024900, ENSMUSG00000036138, ENSMUSG00000078937, ENSMUSG00000010651"	78	51	7691	44.46782303	3.66E-30	1.22E-30	9.46E-29	Hit
mmu04920:Adipocytokine signaling pathway	KEGG_PATHWAY	18	23.07692308	1.35E-19	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000007783, ENSMUSG00000015846, ENSMUSG00000040618, ENSMUSG00000024981, ENSMUSG00000022383, ENSMUSG00000032281, ENSMUSG00000020333, ENSMUSG00000027513, ENSMUSG00000018796, ENSMUSG00000022878, ENSMUSG00000024207, ENSMUSG00000024900, ENSMUSG00000002944, ENSMUSG00000039656, ENSMUSG00000015843, ENSMUSG00000078937"	78	72	7691	24.65064103	1.03E-17	2.57E-18	2.00E-16	Hit
mmu04146:Peroxisome	KEGG_PATHWAY	13	16.66666667	2.30E-11	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000029098, ENSMUSG00000024981, ENSMUSG00000021751, ENSMUSG00000028603, ENSMUSG00000020333, ENSMUSG00000027359, ENSMUSG00000022853, ENSMUSG00000018796, ENSMUSG00000020777, ENSMUSG00000036138, ENSMUSG00000010651"	78	83	7691	15.4437751	1.75E-09	3.49E-10	2.71E-08	Hit
mmu01040:Biosynthesis of unsaturated fatty acids	KEGG_PATHWAY	9	11.53846154	1.33E-10	"ENSMUSG00000037071, ENSMUSG00000020777, ENSMUSG00000050195, ENSMUSG00000029098, ENSMUSG00000025202, ENSMUSG00000036138, ENSMUSG00000025203, ENSMUSG00000010651, ENSMUSG00000024665"	78	27	7691	32.86752137	1.01E-08	1.68E-09	1.30E-07	Low
mmu04931:Insulin resistance	KEGG_PATHWAY	13	16.66666667	6.74E-10	"ENSMUSG00000059316, ENSMUSG00000030382, ENSMUSG00000040618, ENSMUSG00000022383, ENSMUSG00000024122, ENSMUSG00000024600, ENSMUSG00000027513, ENSMUSG00000027359, ENSMUSG00000031808, ENSMUSG00000024900, ENSMUSG00000002944, ENSMUSG00000002108, ENSMUSG00000078937"	78	110	7691	11.6530303	5.12E-08	7.32E-09	5.68E-07	Low
mmu00061:Fatty acid biosynthesis	KEGG_PATHWAY	7	8.974358974	2.33E-09	"ENSMUSG00000031278, ENSMUSG00000032883, ENSMUSG00000018796, ENSMUSG00000024207, ENSMUSG00000024981, ENSMUSG00000032281, ENSMUSG00000020333"	78	14	7691	49.30128205	1.77E-07	2.21E-08	1.72E-06	Low
mmu04152:AMPK signaling pathway	KEGG_PATHWAY	13	16.66666667	3.94E-09	"ENSMUSG00000007783, ENSMUSG00000050195, ENSMUSG00000040618, ENSMUSG00000025202, ENSMUSG00000024122, ENSMUSG00000000440, ENSMUSG00000025203, ENSMUSG00000027513, ENSMUSG00000037071, ENSMUSG00000022878, ENSMUSG00000024900, ENSMUSG00000002944, ENSMUSG00000078937"	78	128	7691	10.01432292	3.00E-07	3.33E-08	2.59E-06	Low
